ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
1/3/2005,1166.552924,1099.85685,1237.147503,1166.552924,1166.552924,0.363061749,0.363061749,0.363061749,-6.712071659,-6.712071659,-6.712071659,7.075133408,7.075133408,7.075133408,0,0,0,1166.915986
1/4/2005,1166.796121,1101.645122,1241.06317,1166.796121,1166.796121,4.529512356,4.529512356,4.529512356,-4.614980098,-4.614980098,-4.614980098,9.144492453,9.144492453,9.144492453,0,0,0,1171.325634
1/5/2005,1167.039319,1099.86477,1241.886348,1167.039319,1167.039319,6.243549405,6.243549405,6.243549405,-4.870231147,-4.870231147,-4.870231147,11.11378055,11.11378055,11.11378055,0,0,0,1173.282868
1/6/2005,1167.282516,1110.704148,1245.981657,1167.282516,1167.282516,7.856992852,7.856992852,7.856992852,-5.090753711,-5.090753711,-5.090753711,12.94774656,12.94774656,12.94774656,0,0,0,1175.139509
1/7/2005,1167.525713,1111.959652,1246.726578,1167.525713,1167.525713,9.215667041,9.215667041,9.215667041,-5.397901005,-5.397901005,-5.397901005,14.61356805,14.61356805,14.61356805,0,0,0,1176.74138
1/10/2005,1168.255304,1109.852152,1250.067319,1168.255304,1168.255304,11.61510505,11.61510505,11.61510505,-6.712071659,-6.712071659,-6.712071659,18.3271767,18.3271767,18.3271767,0,0,0,1179.870409
1/11/2005,1168.498501,1117.264904,1253.167007,1168.498501,1168.498501,14.4529631,14.4529631,14.4529631,-4.614980098,-4.614980098,-4.614980098,19.0679432,19.0679432,19.0679432,0,0,0,1182.951464
1/12/2005,1168.741698,1111.544638,1248.87703,1168.741698,1168.741698,14.66846357,14.66846357,14.66846357,-4.870231147,-4.870231147,-4.870231147,19.53869472,19.53869472,19.53869472,0,0,0,1183.410162
1/13/2005,1168.984896,1117.479391,1252.015636,1168.984896,1168.984896,14.64441236,14.64441236,14.64441236,-5.090753711,-5.090753711,-5.090753711,19.73516607,19.73516607,19.73516607,0,0,0,1183.629308
1/14/2005,1169.228093,1113.828503,1253.605465,1169.228093,1169.228093,14.2611606,14.2611606,14.2611606,-5.397901005,-5.397901005,-5.397901005,19.65906161,19.65906161,19.65906161,0,0,0,1183.489253
1/18/2005,1170.200881,1114.302339,1250.922049,1170.200881,1170.200881,12.25057466,12.25057466,12.25057466,-4.614980098,-4.614980098,-4.614980098,16.86555476,16.86555476,16.86555476,0,0,0,1182.451456
1/19/2005,1170.444078,1113.457955,1255.924237,1170.444078,1170.444078,10.77984503,10.77984503,10.77984503,-4.870231147,-4.870231147,-4.870231147,15.65007618,15.65007618,15.65007618,0,0,0,1181.223923
1/20/2005,1170.687275,1110.428165,1255.865081,1170.687275,1170.687275,9.194506323,9.194506323,9.194506323,-5.090753711,-5.090753711,-5.090753711,14.28526003,14.28526003,14.28526003,0,0,0,1179.881782
1/21/2005,1170.930472,1110.575602,1245.698464,1170.930472,1170.930472,7.407722264,7.407722264,7.407722264,-5.397901005,-5.397901005,-5.397901005,12.80562327,12.80562327,12.80562327,0,0,0,1178.338195
1/24/2005,1171.660064,1102.193878,1234.004271,1171.660064,1171.660064,1.335035746,1.335035746,1.335035746,-6.712071659,-6.712071659,-6.712071659,8.047107405,8.047107405,8.047107405,0,0,0,1172.9951
1/25/2005,1171.903261,1099.224595,1246.282069,1171.903261,1171.903261,1.864156035,1.864156035,1.864156035,-4.614980098,-4.614980098,-4.614980098,6.479136133,6.479136133,6.479136133,0,0,0,1173.767417
1/26/2005,1172.146458,1105.712022,1241.570858,1172.146458,1172.146458,0.110009963,0.110009963,0.110009963,-4.870231147,-4.870231147,-4.870231147,4.98024111,4.98024111,4.98024111,0,0,0,1172.256468
1/27/2005,1172.389655,1105.615066,1243.078502,1172.389655,1172.389655,-1.507615971,-1.507615971,-1.507615971,-5.090753711,-5.090753711,-5.090753711,3.58313774,3.58313774,3.58313774,0,0,0,1170.882039
1/28/2005,1172.632852,1101.146367,1234.594581,1172.632852,1172.632852,-3.080648039,-3.080648039,-3.080648039,-5.397901005,-5.397901005,-5.397901005,2.317252966,2.317252966,2.317252966,0,0,0,1169.552204
1/31/2005,1173.362444,1096.698729,1237.557253,1173.362444,1173.362444,-7.173574021,-7.173574021,-7.173574021,-6.712071659,-6.712071659,-6.712071659,-0.461502362,-0.461502362,-0.461502362,0,0,0,1166.18887
2/1/2005,1173.605641,1097.1981,1242.328252,1173.605641,1173.605641,-5.610140104,-5.610140104,-5.610140104,-4.614980098,-4.614980098,-4.614980098,-0.995160007,-0.995160007,-0.995160007,0,0,0,1167.995501
2/2/2005,1173.848838,1095.370661,1229.468186,1173.848838,1173.848838,-6.189435314,-6.189435314,-6.189435314,-4.870231147,-4.870231147,-4.870231147,-1.319204167,-1.319204167,-1.319204167,0,0,0,1167.659402
2/3/2005,1174.092035,1099.93873,1243.116503,1174.092035,1174.092035,-6.52452724,-6.52452724,-6.52452724,-5.090753711,-5.090753711,-5.090753711,-1.433773528,-1.433773528,-1.433773528,0,0,0,1167.567508
2/4/2005,1174.335232,1097.670446,1238.261591,1174.335232,1174.335232,-6.742210711,-6.742210711,-6.742210711,-5.397901005,-5.397901005,-5.397901005,-1.344309706,-1.344309706,-1.344309706,0,0,0,1167.593021
2/7/2005,1175.064823,1097.232759,1233.369447,1175.064823,1175.064823,-6.69119022,-6.69119022,-6.69119022,-6.712071659,-6.712071659,-6.712071659,0.020881439,0.020881439,0.020881439,0,0,0,1168.373633
2/8/2005,1175.30802,1100.874579,1238.144019,1175.30802,1175.30802,-3.836901751,-3.836901751,-3.836901751,-4.614980098,-4.614980098,-4.614980098,0.778078347,0.778078347,0.778078347,0,0,0,1171.471119
2/9/2005,1175.551218,1098.800683,1246.498345,1175.551218,1175.551218,-3.223977683,-3.223977683,-3.223977683,-4.870231147,-4.870231147,-4.870231147,1.646253465,1.646253465,1.646253465,0,0,0,1172.32724
2/10/2005,1175.794415,1102.647972,1248.636403,1175.794415,1175.794415,-2.492902705,-2.492902705,-2.492902705,-5.090753711,-5.090753711,-5.090753711,2.597851006,2.597851006,2.597851006,0,0,0,1173.301512
2/11/2005,1176.037612,1104.4138,1245.508738,1176.037612,1176.037612,-1.793815199,-1.793815199,-1.793815199,-5.397901005,-5.397901005,-5.397901005,3.604085806,3.604085806,3.604085806,0,0,0,1174.243797
2/14/2005,1176.767203,1110.349268,1246.377343,1176.767203,1176.767203,-0.050548243,-0.050548243,-0.050548243,-6.712071659,-6.712071659,-6.712071659,6.661523416,6.661523416,6.661523416,0,0,0,1176.716655
2/15/2005,1177.0104,1113.440656,1245.402869,1177.0104,1177.0104,2.987385887,2.987385887,2.987385887,-4.614980098,-4.614980098,-4.614980098,7.602365984,7.602365984,7.602365984,0,0,0,1179.997786
2/16/2005,1177.253597,1109.692485,1250.528364,1177.253597,1177.253597,3.593356818,3.593356818,3.593356818,-4.870231147,-4.870231147,-4.870231147,8.463587965,8.463587965,8.463587965,0,0,0,1180.846954
2/17/2005,1177.496794,1112.3733,1256.570006,1177.496794,1177.496794,4.134573484,4.134573484,4.134573484,-5.090753711,-5.090753711,-5.090753711,9.225327195,9.225327195,9.225327195,0,0,0,1181.631368
2/18/2005,1177.739992,1115.773012,1252.897339,1177.739992,1177.739992,4.473481863,4.473481863,4.473481863,-5.397901005,-5.397901005,-5.397901005,9.871382867,9.871382867,9.871382867,0,0,0,1182.213473
2/22/2005,1178.71278,1114.091094,1250.0437,1178.71278,1178.71278,6.504713573,6.504713573,6.504713573,-4.614980098,-4.614980098,-4.614980098,11.11969367,11.11969367,11.11969367,0,0,0,1185.217494
2/23/2005,1178.955977,1115.679152,1255.300449,1178.955977,1178.955977,6.220569066,6.220569066,6.220569066,-4.870231147,-4.870231147,-4.870231147,11.09080021,11.09080021,11.09080021,0,0,0,1185.176546
2/24/2005,1179.199174,1116.97755,1256.97302,1179.199174,1179.199174,5.846623096,5.846623096,5.846623096,-5.090753711,-5.090753711,-5.090753711,10.93737681,10.93737681,10.93737681,0,0,0,1185.045797
2/25/2005,1179.442371,1115.097813,1253.360975,1179.442371,1179.442371,5.274043254,5.274043254,5.274043254,-5.397901005,-5.397901005,-5.397901005,10.67194426,10.67194426,10.67194426,0,0,0,1184.716415
